Id,Prediction
1,0
2,0.00074
3,0
4,0.032617
5,0.006229
6,0.045945
7,0.000016
8,0.001745
9,0.000009
10,0
11,0.000027
12,0.000489
13,0
14,0.000057
15,0.017925
16,0
17,0.001215
18,0
19,0.000001
20,0.013821
21,0
22,0
23,0
24,0.001306
25,0
26,0.002853
27,0
28,0.009959
29,0.001133
30,0.00511
31,0
32,0
33,0.00019
34,0.141735
35,0
36,0.001492
37,0
38,0
39,0
40,0
41,0.000451
42,0.004223
43,0
44,0
45,0.000302
46,0.000011
47,0
48,0.000114
49,0.02409
50,0.002899
51,0.002892
52,0.000912
53,0.000154
54,0.003929
55,0
56,0.001648
57,0.000011
58,0
59,0.001636
60,0.000836
61,0.006211
62,0
63,0.003126
64,0
65,0
66,0
67,0.000502
68,0
69,0.000213
70,0.000021
71,0
72,0.020833
73,0
74,0.00017
75,0.013325
76,0.000339
77,0.47735
78,2.629938
79,0.009877
80,0.015369
81,0
82,0.003889
83,0.000025
84,0
85,0
86,0
87,0
88,1.083227
89,0.418134
90,0
91,0
92,0
93,0
94,0.011036
95,0.000417
96,0
97,0.572764
98,0
99,0
100,0
101,0
102,0
103,0.002762
104,0
105,0.00303
106,0.21283
107,0
108,0.001775
109,0
110,0
111,0
112,0.000352
113,0.000049
114,0
115,0.003838
116,0
117,0.053179
118,0
119,0
120,0
121,0.000871
122,0.002373
123,0.134235
124,0.003334
125,0.007652
126,0
127,0.00014
128,0
129,0
130,0.000116
131,0
132,0.001115
133,0.000012
134,0
135,0
136,0.005525
137,0
138,0.02
139,0.001724
140,0
141,0
142,0
143,0
144,0
145,0.000017
146,0.001486
147,0
148,0.202996
149,0.000185
150,0.000051
151,0
152,0.003933
153,0.002953
154,0.045563
155,0
156,0.000017
157,0.000382
158,0
159,0
160,0
161,0.000721
162,0.081086
163,0
164,0
165,0
166,0.001091
167,0
168,0.014925
169,0.000783
170,0
171,0.00031
172,0.060026
173,0.002075
174,0.000238
175,0.005769
176,0
177,0.004333
178,0.013597
179,0
180,0
181,0
182,0.000101
183,0
184,0.010509
185,0.005351
186,0.024814
187,0
188,0
189,0.000043
190,0.000001
191,0.152137
192,0
193,0.000513
194,0.000062
195,0
196,0
197,0.000016
198,0.029893
199,0
200,0.000011
201,0.004144
202,0.000231
203,0
204,0.000061
205,0
206,0.002105
207,0.000842
208,0.000055
209,0
210,0.306074
211,0
212,0
213,0
214,0.000003
215,0.001446
216,0.005405
217,0
218,0.027819
219,0.003774
220,0
221,0.005084
222,0.000029
223,0.011799
224,0.134978
225,0.01246
226,0.148385
227,0.201272
228,0.505629
229,0.000058
230,0
231,0.014203
232,0.00034
233,0
234,0.060866
235,0.000033
236,0
237,0
238,0.284611
239,0
240,0
241,0
242,0
243,0.095682
244,0
245,0.046867
246,0.000041
247,1.302706
248,0.037155
249,0
250,0
251,0.001089
252,0.03125
253,0
254,0
255,0.000069
256,0.006911
257,0
258,0
259,0
260,0
261,0.002059
262,0.084479
263,0.000118
264,0.006088
265,0.003458
266,0.000001
267,0.020584
268,0.013515
269,0.000098
270,0
271,0.002085
272,0.000048
273,0.000293
274,0
275,0.008933
276,0.008982
277,0.011493
278,0
279,0.000002
280,0
281,0.000001
282,0.000285
283,0
284,0
285,0.001572
286,1.133198
287,0.009524
288,0
289,0.00043
290,0
291,0
292,0
293,0.00029
294,0
295,0
296,0.000044
297,0.179996
298,0
299,0
300,0.005373
301,0.007412
302,0.090756
303,0
304,0.000011
305,0
306,0
307,0.000032
308,0.002557
309,0.000171
310,0.000002
311,0.048979
312,0
313,0.000257
314,0.000007
315,0.004673
316,0.000001
317,0
318,0.013812
319,0
320,0.006198
321,0
322,0.000803
323,0
324,0
325,0.000044
326,0.003996
327,0.291372
328,0
329,0.000605
330,0
331,0
332,0
333,0
334,0.012907
335,0.000001
336,0
337,0
338,0
339,0.002326
340,0
341,0
342,0
343,0
344,0.001687
345,0.000017
346,0
347,0.000798
348,0
349,0
350,0.001909
351,0
352,0
353,0.002882
354,0.000001
355,0.000602
356,0.000269
357,0.00004
358,0
359,0.0002
360,0.006366
361,0
362,0.002278
363,0
364,0
365,0.00823
366,0.319654
367,0.003247
368,0
369,0
370,0
371,0
372,0.001327
373,0.000093
374,0.000068
375,0.000063
376,0.294747
377,0.000001
378,0.006494
379,0
380,0
381,0
382,0.000096
383,0
384,0.000137
385,0.000001
386,0.00316
387,0
388,0.002161
389,0
390,0.001015
391,0.005789
392,0.000011
393,0
394,0.002922
395,4.756456
396,0
397,0.016105
398,0
399,0.013947
400,0.07366
401,0
402,0.00001
403,0.087555
404,0
405,0
406,0.010087
407,0.003085
408,0.016772
409,0.000032
410,0.002074
411,0.001474
412,0
413,0
414,0
415,0.000141
416,0
417,0.006325
418,0
419,0
420,0
421,0.004184
422,0
423,0.254112
424,0
425,0.000019
426,0.140386
427,0.037425
428,0.000004
429,0.000149
430,0.000071
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0.004348
439,0.000446
440,0.011796
441,0.04283
442,0
443,0
444,0.278128
445,0
446,0.000034
447,0
448,0.40174
449,0
450,0
451,0.381704
452,0.001663
453,4.431551
454,0
455,0.024596
456,0.00012
457,0.003154
458,0
459,0.039111
460,0.001171
461,0
462,0.000136
463,0.000835
464,0.000017
465,0.501132
466,0.000004
467,0.000001
468,0
469,0
470,0.018884
471,0
472,0.000579
473,0
474,0
475,0.214594
476,0
477,0.01936
478,0.001835
479,0.00565
480,0.000737
481,0.000018
482,0.008334
483,0.001531
484,0
485,0.000001
486,0.000116
487,0.032132
488,0.566324
489,0.000106
490,0.005805
491,0.022596
492,0
493,0.002415
494,0
495,0.010727
496,0
497,0
498,0
499,0
500,0
501,0.292417
502,0
503,0
504,0.019694
505,0.069378
506,0
507,0.000001
508,0.000011
509,0
510,0
511,0
512,0.000686
513,0
514,0.000002
515,0.009674
516,0
517,0
518,0.188656
519,0.012346
520,0
521,0
522,0.001739
523,0.000028
524,0.000007
525,0.007733
526,0.477436
527,0
528,0.0018
529,0.646647
530,0.000002
531,0.000545
532,0.006452
533,0.001054
534,0
535,0
536,0.000289
537,0.002096
538,0.190398
539,0.009627
540,0
541,0
542,0
543,1.494266
544,0.102669
545,0.000413
546,0
547,0.000025
548,0.004099
549,0.000016
550,0.000038
551,0.001292
552,0.234195
553,0
554,0
555,0.356924
556,0.006776
557,0
558,0
559,0.354467
560,0.083826
561,0
562,0
563,0.008204
564,0.000455
565,0.013962
566,0
567,0.566691
568,0.004832
569,0
570,0
571,0.228988
572,0.001691
573,0.000171
574,0.000011
575,0.000079
576,0
577,0.032938
578,0.003103
579,0.001775
580,0
581,0.045383
582,0.000038
583,0.000122
584,0.438817
585,0.00047
586,0
587,0.008615
588,0.045856
589,0
590,6.591299
591,0
592,0
593,0.007874
594,0.001608
595,0.01997
596,0
597,0.000027
598,0
599,0
600,0.006904
601,0
602,0
603,0.000215
604,0.0733
605,0
606,0.000512
607,0.000011
608,0
609,0.032949
610,0.003846
611,0.001621
612,0.021707
613,0
614,0
615,0
616,0.00003
617,0
618,0
619,0
620,0.021042
621,0
622,0.000536
623,0.00004
624,0
625,0.000441
626,0.016933
627,0
628,0.000403
629,0.000015
630,0.000018
631,0
632,0.000118
633,0.010558
634,0.000002
635,0.000001
636,0
637,0.033028
638,0
639,0.071711
640,0.002573
641,0.00202
642,0.000023
643,0
644,0.015834
645,0.000006
646,0.302652
647,0
648,0
649,0.002639
650,0.000263
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0.000287
659,0.000081
660,0
661,0.078535
662,0.000571
663,0
664,0
665,0
666,0.193227
667,0.002941
668,0.00098
669,0
670,0.000028
671,0
672,0.011513
673,0
674,1.076186
675,0.00001
676,0.00381
677,0
678,0.000003
679,0
680,0
681,0
682,0
683,0.002024
684,0
685,0
686,0
687,0
688,0.00008
689,0
690,0
691,0.012429
692,0.002175
693,0.030368
694,0
695,0.000093
696,0
697,0
698,0
699,0.000278
700,0
701,0.012803
702,0.000066
703,0
704,0
705,0.229959
706,0.000827
707,0.002779
708,0.107028
709,0.000049
710,0
711,0.009709
712,0.000011
713,0
714,0.001744
715,0
716,0
717,0.008388
718,0
719,0.002771
720,0
721,0.000686
722,0.271689
723,0
724,0.000001
725,0.016055
726,0.128085
727,0.00004
728,0.001327
729,0.000406
730,0.003373
731,0.144056
732,0
733,0
734,0
735,0
736,0.525404
737,0
738,0.004343
739,0
740,0.000312
741,0.000682
742,0.809292
743,0.107737
744,0
745,0.062501
746,0.000001
747,0.033181
748,0
749,0.00018
750,0
751,0.000114
752,0.131276
753,0
754,0
755,0.043911
756,0
757,0.079531
758,0.000062
759,0
760,0
761,0
762,0.006877
763,0.165355
764,0.000335
765,0
766,0
767,0.000262
768,0
769,0.011676
770,0
771,0.000104
772,0
773,0.001817
774,0
775,0
776,0.00449
777,0
778,0.00073
779,0.00146
780,0
781,0.000054
782,0
783,0.001447
784,0.000207
785,0.00231
786,0.000381
787,0
788,0
789,0.003573
790,0.002472
791,0.007209
792,0
793,0
794,0.001995
795,0.030235
796,0.000001
797,0.000288
798,0.001076
799,0.009222
800,0.00041
801,0
802,0.000499
803,0.00641
804,0.00317
805,0.003786
806,0.5
807,0
808,0.00001
809,0.005377
810,0.000006
811,0
812,0.000524
813,0.000002
814,0.00052
815,0.01032
816,0.715389
817,0.000632
818,0
819,0
820,0
821,0
822,0.044108
823,0
824,0
825,0.329781
826,0
827,0.000207
828,0
829,0.000734
830,0.183361
831,0
832,0.002306
833,0.003132
834,0
835,0
836,0.080431
837,0
838,0.000085
839,0.000098
840,0
841,0.011461
842,0
843,0.343686
844,0.001185
845,0
846,0.001726
847,0.101102
848,0.000008
849,0.007945
850,0
851,0
852,0
853,0
854,0
855,0.107959
856,0.000003
857,0.002968
858,0.011969
859,0
860,0.015833
861,0.837858
862,0.27683
863,0.000001
864,0
865,0
866,0.001157
867,0
868,0
869,0
870,0.001022
871,0.004829
872,0.000025
873,0.019563
874,0.062362
875,0.002787
876,0.002333
877,0
878,0.00003
879,0.000678
880,0.063487
881,0.000007
882,0.059857
883,0.001348
884,0
885,0
886,0.000034
887,0.000261
888,0.001969
889,0.011002
890,0.000034
891,0.020773
892,0.00269
893,0
894,0
895,0
896,0
897,0
898,0.000016
899,0.001296
900,0
901,0.0004
902,0.009174
903,0.006271
904,0
905,0
906,0.007626
907,0.025
908,0
909,0
910,0.078522
911,0
912,0.000067
913,0.012715
914,0
915,0.013293
916,0
917,0.034952
918,0.00001
919,0.002369
920,0
921,2.984665
922,0
923,0
924,0
925,70.173873
926,0
927,0
928,0.014463
929,0.68664
930,0.000082
931,0.015886
932,0
933,0.050711
934,0
935,0.002304
936,0.041362
937,0.000329
938,0.065435
939,0.900352
940,0
941,0
942,0
943,0
944,0.00003
945,0
946,0.002958
947,0.006329
948,0.137323
949,0.117059
950,0.000001
951,0
952,0
953,0
954,0
955,0
956,0.027677
957,0
958,0.000001
959,0.00001
960,0.000603
961,0.015355
962,0
963,0.058753
964,0.000035
965,0.095067
966,0
967,0
968,0.009811
969,0
970,2.200083
971,0.035551
972,0
973,0.004123
974,0.000001
975,0.014935
976,0
977,0.209114
978,0.604229
979,0
980,0
981,0.006154
982,0
983,0
984,0
985,0.006211
986,0.00565
987,0.000003
988,0.003775
989,0.005694
990,0
991,0.000001
992,0
993,0
994,0.000015
995,0.000007
996,0
997,0
998,0.000018
999,0
1000,0.004754
1001,0.001072
1002,0
1003,0
1004,0.000508
1005,0.010922
1006,0.6572
1007,0
1008,0.007782
1009,2.122323
1010,0.000143
1011,0
1012,0
1013,0.00568
1014,0.22342
1015,0.357567
1016,0.003956
1017,0.007051
1018,0.008158
1019,0.07731
1020,0.007294
1021,0.003013
1022,0.000748
1023,0
1024,0.049108
1025,0
1026,0
1027,0.000191
1028,0
1029,0
1030,0.011272
1031,0.000001
1032,0.000001
1033,0.000009
1034,0.011263
1035,0.000001
1036,0.000219
1037,0
1038,0.001856
1039,0.007922
1040,0.001647
1041,0.002408
1042,0
1043,0
1044,0.003806
1045,0.000776
1046,0
1047,0
1048,0.000007
1049,0
1050,0.00013
1051,0
1052,0
1053,0
1054,0.242358
1055,0.005824
1056,0.000007
1057,0
1058,0
1059,0.00004
